"season","holiday","weathersit","hum","casual","registered","cnt","raw_temp","raw_felt_temp","raw_windspeed","weekend","hr_cat"
"1","0","1",0.81,3,13,16,3.28,3.14,0,1,"Late Night"
"1","0","1",0.8,8,32,40,2.34,1.82,0,1,"Late Night"
"1","0","1",0.8,5,27,32,2.34,1.82,0,1,"Late Night"
"1","0","1",0.75,3,10,13,3.28,3.14,0,1,"Late Night"
"1","0","1",0.75,0,1,1,3.28,3.14,0,1,"Late Night"
"1","0","2",0.75,0,1,1,3.28,1.16,6.03,1,"Early Morning"
"1","0","1",0.8,2,0,2,2.34,1.82,0,1,"Early Morning"
"1","0","1",0.86,1,2,3,1.4,1.16,0,1,"Morning Peak"
"1","0","1",0.75,1,7,8,3.28,3.14,0,1,"Morning Peak"
"1","0","1",0.76,8,6,14,7.04,7.1,0,1,"Morning Peak"
"1","0","1",0.76,12,24,36,9.86,9.74,16.75,1,"Midday"
"1","0","1",0.81,26,30,56,8.92,5.78,18.76,1,"Midday"
"1","0","1",0.77,29,55,84,11.74,11.72,18.76,1,"Midday"
"1","0","2",0.72,47,47,94,13.62,13.7,20.1,1,"Midday"
"1","0","2",0.72,35,71,106,13.62,13.7,18.76,1,"Midday"
"1","0","2",0.77,40,70,110,12.68,13.04,20.1,1,"Midday"
"1","0","2",0.82,41,52,93,11.74,11.72,20.1,1,"Midday"
"1","0","2",0.82,15,52,67,12.68,13.04,18.76,1,"Afternoon Peak"
"1","0","3",0.88,9,26,35,11.74,11.72,16.75,1,"Afternoon Peak"
"1","0","3",0.88,6,31,37,11.74,11.72,16.75,1,"Afternoon Peak"
"1","0","2",0.87,11,25,36,10.8,11.06,16.75,1,"Evening"
"1","0","2",0.87,3,31,34,10.8,11.06,12.73,1,"Evening"
"1","0","2",0.94,11,17,28,10.8,11.06,14.74,1,"Evening"
"1","0","2",0.88,15,24,39,13.62,13.7,20.1,1,"Evening"
"1","0","2",0.88,4,13,17,13.62,13.7,20.1,1,"Late Night"
"1","0","2",0.94,1,16,17,12.68,13.04,16.75,1,"Late Night"
"1","0","2",1,1,8,9,11.74,11.72,18.76,1,"Late Night"
"1","0","2",0.94,2,4,6,13.62,13.7,12.73,1,"Late Night"
"1","0","2",0.94,2,1,3,13.62,13.7,12.73,1,"Late Night"
"1","0","3",0.77,0,2,2,11.74,11.72,20.1,1,"Early Morning"
"1","0","2",0.76,0,1,1,10.8,11.06,12.73,1,"Morning Peak"
"1","0","3",0.71,0,8,8,10.8,11.06,14.74,1,"Morning Peak"
"1","0","2",0.76,1,19,20,9.86,9.74,14.74,1,"Morning Peak"
"1","0","2",0.81,7,46,53,8.92,7.1,14.74,1,"Midday"
